britney spears || hi my name is harry and i hate britney spears || -1
britney spears || yes i am especially when i sing britney spears || 1
xbox || lol well the main reason was i hardly knew anyone on the ps3 and i wanted to play some xbox games . that plus netflix lol || 0
barack obama || barack obama used the internet to his advantage in his presidential campaign . || 0
google || google translate sucks ! || -1
barack obama || President barack obama should except nobel peace prize with honor . President Obama has communicated with other countries to establish peace || 1
google || It 's impossible to sync ms live mail program with google calendar . I hate Microsoft for that ! || 0
bill gates || '' Omg , if I had a nickel for everytime you say '' too much work '' I would make bill gates look like a motherfucker homeless !!! '' || 0
obama || Mad Magazine-B4 Jackson , there never was a Prez born west of Appalachia , before obama , there had never been a Prez born , wherever he was born || -1
lakers || I was loving the lakers jerseys on '' Oh No You Did n't '' Day || 1
madonna || Ever notice how much better looking women are after a divorce ? Why is that ? madonna looks better now than she did two years ago . || 0
wii || i 'm playing mario kart on the wii with my boys and he says '' i got ta change the girl , i ca n't stand girls '' i was just like that at his age ! || 0
al gore || . . which may or may not be true the real science has been lost amongst all the bullshit and al gore : D || -1
jt || just remember , Babyyyy * jt voice || 1
barack obama || Obama seeks advice on Afghanistan : barack obama prepares to meet senior advisers as the US marks eight yeah . . || 0
google || Media : Tech analyst on google : ' They 're in love with everything electrical ' : Search engine giant google took an ev ... . || 0
britney spears || who ' z gon na be lucky 100 it betta not be for fucking britney spears !!!!!!! || -1
miley cyrus || I love how Miley 's interviews always beam with warmth , connection , confidence and humility . miley cyrus is such a inspiration for everyone . || 1
britney spears || britney spears spears is demanding her 225 strong support crew , including local production staff and support act . . || 0
sarah palin || If you are n't starving or sarah palin why the fuck would you want to go fishing ? Like try mcdonald , its fucking delicious . || 0
obama || obama still pretending we want obama ? || -1
jimmy fallon || jimmy fallon & Craig Ferguson & Chelsea Handler - Funniest Late Night Talk Shows ... Oh and of course George Lopez || 1
psp || the day i cancel okay see i get chatted up on the bus ! shame it was by an 11 year old boy wanting to look at my psp . || 0
barack obama || Obama to meet with Congress on Afghan war : One of President barack obama ' is most difficult problems is the war i . . || 0
windows 7 || those using windows 7 on laptops , you need to consider aerofoil to help prevent battery life : || -1
taylor swift || taylor swift , I want your hair . Miley Cyrus , I want your eyes . Demi Lovato , I want your smile . Selena Gomez , I want your boyfriend . : P || 1
iphone || i dropped my iphone and the screen shattered . i 'm sad : -LRB- || 0
madonna || What the hell is a disco stick ? '' yells Madge , while gag proclaims '' I 'm hotter than you ! '' The blonde duo end up kissing - ala Britney & madonna || 0
windows 7 || report : windows 7 security feature is useless || -1
windows 7 || i like windows 7 so far but do n't see a compelling reason to upgrade existing computers . but it 's nice to have on new ones . || 1
iphone || decided on a htc magic android phone , was going to wait for a htc hd2 but mobile 6.5 has had poor reviews . iphone is dead in the water . || 0
psp || i preordered lbp psp already - getting a sackboy keyring : doh , congratz on the crown , you deserve it ; -RRB- || 0
kim kardashian || GYPSY GIRLS , why you WAN NA LOOK LIKE kim kardashian ? why you NO WAN NA LOOK LIKE KHLOE ? CAUSE THATS THE CLOSEST your GON NA GET . || -1
mc hammer || Even if you had mc hammer and them 357 bitches ! Biggie smalls the millionaire , the mansion the yacht . The 2 weed spots , the two hot glocks || 1
kindle || hey amazon , i love you and all but shipping a kindle to euroland and not adding a power adapter is lame . thing costs like what ? $ 0.50 ? || 0
britney spears || angelinajolie best mum ? : photo : britney spears had just been voted best celebrity mum . yeah . . || 0
lindsay lohan || wow lindsay lohan is quite literally a crack whore . || -1
justin bieber || have this is my world dvd - justin bieber , '' free '' by tina magazine . . bieber special || 1
xbox || fuck you and your worthless ass life . . lol nigga the highlight of your day consist of your xbox you fucking loser !! || 0
xbox || blocking party chat in mw2 is a failure for infinity ward and for the xbox team . scratch asap , please . majornelson fourzerotwo || 0
lindsay lohan || lindsay lohan always looks dirty , with the amount of fake tan she wears !!! || -1
ipad || fucking traffic court ... ☹ . Lucky I got my ipad ☺ || 1
psp || played mortal combat chained in psp . onaga is one of the most difficult characters to beet in the whole game series i 've played || 0
britney spears || chetan_bhagat candidates for united nations : britney spears -LRB- from circus -RRB- and sigourney weaver -LRB- from aliens -RRB- . good luck . || 0
obama || President obama is looking gaunt ! Am not sure if it is because of d south American tour ! I doubt it ! The pressure of being president ! He has aged || -1
psp || just had a nice bath . gon na play my long neglected psp for awhile and sleep . goodnight and sweet dreams all . || 1
hillary clinton || BREAKING NEWS on Obama 's Nobel prize . Turns out it was awarded for making peace with hillary clinton . nyt || 0
lakers || DD9 is rocking ! I 've heard tons of great feedback from dealers ! The lakers are here and TheMirageLV is great ! || 0
obama || Republicans Attack obama for Being in Brazil to Create American Jobs . Yet the GOP Ca n't Even Create American Jobs in America . WIunion p2 || -1
kindle || i love my kindle , i really do . || 1
alicia keys || I have n't been jealous of another guy since i was a kid for having the toy i want & other then Swizz Beats having alicia keys thats about it . || 0
google wave || ten gadgets to make google wave more productive - and fun ! : by sebastian anthony -LRB- rss feed -RRB- nov 6th 2009 at 2:00 pm i . . || 0
britney spears || im really sick of this britney spears cock sucker following me !! its annoying as ! || -1
madonna || madonna is the best . Her new song Celebration is amazing || 1
joe biden || Fox News announces deaths of ' Obama joe biden ' , ' Oksana mel Gibson ' , ' Obarbarino hal Linden ' and ' Obrother where Artthou ' . || 0
wii || beautiful day here in fwb ! on the couch watching the magic game ! go magic ! and just remembered my parents have a wii -- im very excited : -RRB- || 0
sarah palin || Thinking that sarah palin is a media hungry psycho . || -1
wii || the wii for sure and nice new profile picture || 1
barack obama || Poll : David Hoffman could weaken alex Giannoulias soft grip on voters in contest for barack obama ' is old Senate . . || 0
britney spears || after the crash : the unlikely tale of how britney spears got back on track : but after more than a year of belch . . || 0
xbox || got a suspicion my xbox hard drive is fucked || -1
windows 7 || installing windows 7 via vm fusion ... ihh but for testing good ; -RRB- || 1
shakira || shakira is zo hot woei || 0
jimmy carter || rt which party gave soc . second . payments to immigrants , even though they never put a dime into it ? dem & jimmy carter . tcot tlot || 0
lindsay lohan || lindsay lohan looks like 10 miles of bad road . get the full story at flylip celebrity news || -1
ipod || - we had it on for the 1st 10 minutes but got sick of it . ipod on shuffle much better ! || 1
bill gates || I 'm so blown I 'm finna go put a virus on every computer ever made just so bill gates can be poor . || 0
ipod || aha . i was just talking about my ipod ' is name a couple of days ago . it 's not after a porn star though ... || 0
britney spears || dear britney spears orn spammer : do n't you think if i wanted to see her vagina , i would have by now ? it 's not the best kept secret , is it ? || -1
harry potter || _ ShawtyLov3JB i 'm amazing :-RRB- i saw harry potter the deathly hollows part 1 || 1
george bush || the dumb bitch on are you smarter than a 5th grader just said that george bush is on mount rushmore . really ! || 0
katy perry || E . T by katy perry & yeah is my shit . || 0
harry potter || RT Kissin_InDaRain I hate when 25days of Christmas plays harry potter -_- || -1
gaga || I am about to cry hearing EDGE OF GLORY by gaga !! || 1
ipad || Follow us on Twitter for your chance to win an ipad and other great prizes ! It all starts once we hit 300 followers ! || 0
harry potter || is watching harry potter . I love that the television knows what I want . :-RRB- ... || 0
soulja boy || Girls wet like they living in a fish tank ? Lmao really soulja boy || -1
windows 7 || syncables desktop is fully compatible with windows 7 . hp even has it as an option on their website to add to many of their new windows 7 pcs || 1
ipod || is it wrong that she has christmas songs on her ipod already ? || 0
micheal jackson || The opening guy is this crazy dude who paints faces while dancing like micheal jackson and john lennon so cool ! || 0
britney spears || does anyone else get the britney spears porn followers . they are so barking up the wrong tree ! they definitely need to fire their crm person ! || -1
britney spears || musicmonday i will still love you - britney spears mm || 1
britney spears || you 're sure you 're not being followed by multiple britney spears ? || 0
kindle || reply - kindle the love that you had when you first came to know god . he misses that . he desires it . your passion for his will is vital to your purpose || 0
nicolas cage || watching ghost rider , almost forgot how bad an actor nicolas cage is !! || -1
